Protocol,Source Port,Destination Port,Payload Length,First 1 Byte,First 2 Bytes,First 3 Bytes,First 5 Bytes,First 8 Bytes,First 16 Bytes
TCP,2062,80,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,80,2057,6,0,0,0,0,0,0
TCP,80,2057,1413,72,18516,4740180,310652457007,5211883372140375601,96142278707895827213166265500844378893
TCP,2057,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2063,80,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,80,2062,12,2,516,132101,8657417217,145247358651925254,623832655240401613383336962
TCP,2062,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2062,80,510,71,18245,4670804,306105819183,5135603447296713076,94735162456342985539252088353464804722
TCP,80,2063,12,2,516,132101,8657417217,145247358651925254,623832655240401613383336962
TCP,2063,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2062,6,0,0,0,0,0,0
TCP,80,2062,368,72,18516,4740180,310652457007,5211883372140375601,96142278707895827213166265500844378893
TCP,2062,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2028,443,1,0,0,0,0,0,0
TCP,80,2062,773,31,8075,2067208,135476543488,2272919233031569408,41927959391945562313748149529989602120
TCP,2062,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,443,2028,12,1,257,65797,4312074889,72344611830606161,310717741854268155659266386
TCP,80,2058,6,0,0,0,0,0,0
TCP,2058,80,400,71,18245,4670804,306105819183,5135603447297373281,94735162456355164171995041324119057213
TCP,80,2056,6,0,0,0,0,0,0
TCP,2062,80,491,71,18245,4670804,306105819183,5135603447296713076,94735162456342985539252094984910107438
TCP,80,2059,6,0,0,0,0,0,0
TCP,80,2058,6,0,0,0,0,0,0
TCP,80,2058,1413,72,18516,4740180,310652457007,5211883372140375601,96142278707895827213166265500844378893
TCP,2058,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2062,6,0,0,0,0,0,0
TCP,80,2062,370,72,18516,4740180,310652457007,5211883372140375601,96142278707895827213166265500844378893
TCP,2062,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2062,1460,31,8075,2067208,135476543488,2272919233031569408,41927959391945562313748149274707745846
TCP,2062,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2062,703,206,52859,13532105,886840049338,14878707065206060666,274463701379550334757613884386124559342
TCP,2062,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2059,80,401,71,18245,4670804,306105819183,5135603447297373281,94735162456355164171995041324119057213
TCP,2056,80,401,71,18245,4670804,306105819183,5135603447297373281,94735162456355164171995041324119057213
TCP,2057,80,409,71,18245,4670804,306105819183,5135603447297373281,94735162456355164171995041324119057213
TCP,80,2059,6,0,0,0,0,0,0
TCP,80,2059,1413,72,18516,4740180,310652457007,5211883372140375601,96142278707895827213166265500844378893
TCP,2059,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2056,6,0,0,0,0,0,0
TCP,80,2057,6,0,0,0,0,0,0
TCP,80,2056,1413,72,18516,4740180,310652457007,5211883372140375601,96142278707895827213166265500844378893
TCP,2056,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2057,1413,72,18516,4740180,310652457007,5211883372140375601,96142278707895827213166265500844378893
TCP,2057,80,0,N/A,N/A,N/A,N/A,N/A,N/A
UDP,61070,53,44,244,62572,16018433,1049784025088,17612453342250860544,324892419314652046949900254888422947074
TCP,80,2058,6,0,0,0,0,0,0
TCP,80,2062,6,0,0,0,0,0,0
TCP,80,2057,6,0,0,0,0,0,0
TCP,80,2056,6,0,0,0,0,0,0
TCP,80,2059,6,0,0,0,0,0,0
UDP,55930,53,44,100,25737,6588673,431795273728,7244322575113846784,133634164530521671252979422601600775682
TCP,2064,443,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,443,2064,12,2,516,132101,8657412097,145247272752579335,623832286305520143487271938
TCP,2064,443,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2064,443,187,22,5635,1442561,94539677878,1586112596329693184,29258613136580838064571288125101662657
TCP,443,2064,6,0,0,0,0,0,0
TCP,443,2064,1440,22,5635,1442563,94539808848,1586114793641738240,29258653669833783284604678881500951397
TCP,2064,443,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,443,2064,1440,26,6688,1712287,112216503321,1882680514994724268,34729325632667376531821603028978348431
TCP,443,2064,1440,45,11640,2980052,195300737580,3276602659342977119,60442650688136019965783335523008437808
TCP,443,2064,221,195,50155,12839717,841463695261,14117418171559043084,260420399992286312070765420547179420365
TCP,2064,443,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2064,443,126,22,5635,1442563,94539808838,1586114793474883584,29258653666755858147162709508276669287
UDP,58832,53,30,248,63592,16279553,1066896785408,17899557818495729664,330188562110357571131001361144231457541
UDP,49776,53,30,9,2408,616449,40399601664,677792843430952960,12503071117762677506991473737229103877
UDP,53,49776,132,9,2408,616577,40408023040,677934130675122179,12505677407396746801981183180148011781
UDP,53,58832,132,248,63592,16279681,1066905206784,17899699105739898883,330191168399991640425991070587150365445
TCP,2065,80,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
UDP,50936,53,44,85,21803,5581569,365793705984,6137000016734126080,113207668689045659362340450042502264882
UDP,53320,53,30,73,18909,4840705,317240442880,5322411434133487616,98181161580445868205373193665689907973
UDP,53,50936,60,85,21803,5581697,365802127360,6137141303978295297,113210274978679728620436671338002069554
UDP,57471,53,44,176,45303,11597569,760058281984,12751661969434542080,235226644864614108632807113779174520882
UDP,53,53320,132,73,18909,4840833,317248864256,5322552721377656835,98183767870079937500362903108608815877
TCP,443,2064,6,0,0,0,0,0,0
TCP,443,2064,242,22,5635,1442563,94539808954,1586114795420254208,29258653702641612184943743279279681613
TCP,2064,443,0,N/A,N/A,N/A,N/A,N/A,N/A
UDP,53,57471,100,176,45303,11597697,760066703360,12751803256678711298,235229251154248177909350079148383877170
TCP,80,2065,6,2,516,132101,8657408000,2216296448000,2216296448000
TCP,2065,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2065,80,451,80,20559,5263187,344928244768,5786935666976694344,106750121219740767779582544378971697421
TCP,80,2065,6,0,0,0,0,0,0
TCP,80,2065,1460,72,18516,4740180,310652457007,5211883372140375601,96142278707895827213166265500844378893
TCP,80,2065,503,48,12319,3153670,206678917973,3467496849481212676,63964026958774101050622690359041286351
TCP,2065,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2033,443,1,0,0,0,0,0,0
TCP,443,2033,12,1,257,65797,4312074791,72344610189261322,310717734804745749054536203
TCP,1929,443,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1990,80,1,0,0,0,0,0,0
TCP,80,1990,12,1,257,65797,4312074973,72344613236282316,310717747891601271556969421
TCP,443,1852,55,23,5891,1508099,98834776114,1658172387178553401,30587881656374800041725468598115911425
TCP,443,1852,6,0,0,0,0,0,0
TCP,1852,443,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1852,443,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,443,1852,6,0,0,0,0,0,0
UDP,51325,53,43,3,927,237313,15552544768,260928402922471424,4813279470272597789137808673721312626
UDP,53,51325,145,3,927,237441,15560966912,261069703051542529,4815885997591154590027324224829678962
UDP,55803,53,45,51,13159,3368705,220771450880,3703930318047215616,68325454643870609341322839772686856246
UDP,53,55803,99,51,13159,3368833,220779872256,3704071605291384833,68328060933504678599419061068186660918
TCP,2049,80,8,2,516,132101,8657417217,145247358651794434,145247358651794434
TCP,80,2049,12,2,516,132101,8657417217,145247358651794434,623832655239839745761805063
TCP,2049,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2049,80,621,72,18501,4736321,310399550496,5207640304977404786,96064007933852943737671032613713900335
UDP,15005,4244,4,183,47062,12048047,3084300218,3084300218,3084300218
TCP,1987,80,1,0,0,0,0,0,0
UDP,55930,53,44,139,35736,9148417,599550656512,10058790867243696128,185551940819011412710655855397472515331
UDP,55803,53,43,76,19584,5013505,328565063680,5512407043413180416,101685961959956876854631278687909262851
TCP,1994,80,1,0,0,0,0,0,0
TCP,1987,80,1,0,0,0,0,0,0
TCP,80,1994,6,0,0,0,0,0,0
UDP,51344,53,44,244,62572,16018433,1049784025088,17612453342250860544,324892419314652046949900254888422947074
UDP,59676,1900,97,77,19757,5057875,331472913729,5561192671786189640,102585897961028881314394952638804545583
TCP,1101,993,45,23,5891,1508099,98834776104,1658172387010193251,30587881653269103441050069760264978546
TCP,993,1101,158,23,5891,1508099,98834776217,1658172388905786242,30587881688236622223951872053637259642
TCP,1101,993,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1101,993,182,23,5891,1508099,98834776241,1658172389308671843,30587881695668549786574344175577873173
TCP,993,1101,130,23,5891,1508099,98834776189,1658172388436024194,30587881679571041948954210129361847768
TCP,1101,993,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1101,993,81,23,5891,1508099,98834776140,1658172387614173027,30587881664410563794618492234401290111
TCP,993,1101,58,23,5891,1508099,98834776117,1658172387228064642,30587881657288121241817365181198146781
TCP,1101,993,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,1980,6,0,0,0,0,0,0
TCP,1980,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1980,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1987,80,1,0,0,0,0,0,0
TCP,80,1987,12,1,257,65797,4312074933,72344612571370711,310717745035827672686187736
UDP,53,55803,84,76,19584,5013633,328573485056,5512548330657349633,101688568249590946112727499983409067523
UDP,55803,53,45,243,62247,15935233,1044331429888,17520973974819897344,323204922835628227970627843581442863152
UDP,53,55803,74,243,62247,15935361,1044339851264,17521115262064066561,323207529125262297228724064876942667824
UDP,55803,53,45,110,28199,7218945,473100779520,7937313967775481856,146417599396234416874421504564157100848
UDP,53,55803,98,110,28199,7219073,473109201664,7937455267904552960,146420205923552973656864276041555915568
UDP,53,55930,90,139,35736,9148545,599559077888,10058932154487865345,185554547108645481968752076692972320003
TCP,2049,80,621,72,18501,4736321,310399550496,5207640304977404786,96064007933852943737671032613713900335
UDP,61070,53,44,100,25737,6588673,431795273728,7244322575113846784,133634164530521671252979422601600775682
TCP,2035,443,1,0,0,0,0,0,0
TCP,443,2035,12,1,257,65797,4312074949,72344612840999461,310717746193874336267176486
TCP,2064,443,31,21,5379,1377027,90244841498,1514057198697709568,27929425657334259024231783383493149609
TCP,2064,443,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2063,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2060,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2061,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,443,2064,6,0,0,0,0,0,0
TCP,443,2064,6,0,0,0,0,0,0
TCP,443,2064,6,0,0,0,0,0,0
TCP,2064,443,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2060,6,0,0,0,0,0,0
TCP,80,2060,6,0,0,0,0,0,0
TCP,2060,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2060,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2061,6,0,0,0,0,0,0
TCP,80,2061,6,0,0,0,0,0,0
TCP,2061,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2061,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2063,6,0,0,0,0,0,0
TCP,80,2063,6,0,0,0,0,0,0
TCP,2063,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2063,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,1990,6,0,0,0,0,0,0
TCP,1990,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1990,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1990,80,0,N/A,N/A,N/A,N/A,N/A,N/A
UDP,53,55930,44,244,62572,16018561,1049792446976,17612594638084964352,324895025762742441218078407297301100802
UDP,1195,9749,121,48,12390,3171962,207877704404,3487609148383392669,64335033389356564964686140951737444383
TCP,2011,80,1,0,0,0,0,0,0
TCP,2012,80,1,0,0,0,0,0,0
TCP,80,2011,12,1,257,65797,4312074897,72344611971704858,310717742460282444923578395
TCP,80,2012,12,1,257,65797,4312074982,72344613387065542,310717748539210296163129543
UDP,59676,1900,97,77,19757,5057875,331472913729,5561192671786189640,102585897961028881314394952638804545583
UDP,51374,53,44,244,62572,16018433,1049784025088,17612453342250860544,324892419314652046949900254888422947074
TCP,2066,21,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,21,2066,12,2,516,132101,8657417217,145247358651925248,623832655240401587613533186
TCP,2066,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,21,2066,94,50,12850,3289648,215590379592,3617006365941771296,66721990745506091437220972488277041273
TCP,2066,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2066,21,16,85,21843,5591877,366469272096,6148334135323749999,113416746273969525659574449563803782410
TCP,21,2066,37,51,13107,3355441,219902189648,3689346534603846515,68056431323064376907796337996829189489
TCP,2066,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2066,21,26,80,20545,5259603,344693363488,5782995013011861370,106677428984568445070144233108666677345
TCP,21,2066,48,53,13619,3486512,228492058702,3833460623135437856,70714867031622563134259521977883828329
TCP,2066,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2066,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,21,2066,6,0,0,0,0,0,0
TCP,21,2066,6,0,0,0,0,0,0
TCP,2066,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,21,2067,12,2,516,132101,8657417217,145247358651925248,623832655240401587613533186
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,21,2067,94,50,12850,3289648,215590379592,3617006365941771296,66721990745506091437220972488277041273
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
UDP,15005,4673,17,108,27678,7085775,464373398231,7790892806789682141,143716605712553943773274985881477456832
TCP,902,1384,53,23,5891,1508097,98834645040,1658170188134951660,30587841091180271798828663007849405553
TCP,1384,902,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1384,902,37,23,5891,1508097,98834645024,1658170187862320637,30587841086151117091054191807262098615
TCP,902,1384,1460,23,5891,1508097,98834656080,1658170373344493187,30587844507693284368133746204700289652
TCP,902,1384,53,221,56790,14538415,952789603858,15985156986491466979,294874099907878303544512707327544031857
TCP,1384,902,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,902,1384,1460,70,18037,4617607,302619492623,5077112593550780767,93656196646638996586026281995016300297
TCP,1384,902,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,902,1384,1460,77,19796,5068001,332136557075,5572326759551639605,102791285628532357491645784164866649276
TCP,902,1384,106,194,49685,12719454,833582166019,13985188053061418546,257981184837524344853955800645945246907
TCP,1384,902,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,902,1384,1460,220,56498,14463706,947893444840,15903013069071625443,293358812086022554879180026944740602737
TCP,902,1384,1460,203,52103,13338419,874146644918,14665747077473741891,270535282987911924587864396446141766794
TCP,1384,902,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,902,1384,1460,238,61054,15629932,1024323227769,17185292046101807319,317012684206396408665109585010161828985
TCP,902,1384,1460,248,63714,16310944,1068954045835,17934072921059547614,330825253374030157266293927151472573206
TCP,902,1384,212,144,37062,9487991,621805027898,10432157262934416975,192439335166041512974272377732749074260
TCP,902,1384,502,31,8168,2091229,137050793753,2299330769781441127,42415166250963820478711967605874810294
TCP,1384,902,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1384,902,37,23,5891,1508097,98834645024,1658170187852941483,30587841085978102238766124821567148987
UDP,1336,9749,258,150,38644,9892956,648344785026,10877420500857392162,200652992161437881581467266653419669907
UDP,9749,1336,409,148,38103,9754398,639264269754,10725074734745147930,197842708803252098868787448252824326201
TCP,902,1384,6,0,0,0,0,0,0
UDP,55803,53,44,184,47137,12067073,790827696128,13267887076721885184,244749317303166982503532044046910632195
UDP,55803,53,45,64,16429,4205825,275632947200,4624353491891060736,85304265371279495686617562769236571190
UDP,51344,53,44,100,25737,6588673,431795273728,7244322575113846784,133634164530521671252979422601600775682
TCP,2027,80,1,0,0,0,0,0,0
TCP,80,2027,12,1,257,65797,4312074802,72344610375841583,310717735606101868315260720
TCP,2068,443,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,2067,21,9,85,21843,5591877,366469272096,6148334135323945485,1573973538642930044170
TCP,21,2067,30,51,13107,3355441,219902189648,3689346534603846515,68056431323064376907796337996829189489
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,9,80,20545,5259603,344693363488,5782995013011270157,1480446723330885160202
TCP,21,2067,65,50,12851,3289904,215607156803,3617287840836905317,66727183040859802956993934977751720051
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,6,83,21337,5462355,357980918797,91643115212042,91643115212042
TCP,21,2067,42,50,12849,3289397,215573930071,3616730388774866500,66716899865338011237949898935835129196
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,6,70,17989,4605249,301809619981,77263262715146,77263262715146
TCP,21,2067,41,53,13616,3485746,228441858115,3832618397044010349,70699330702461799209720977602825384992
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,5,80,20567,5265220,345061461258,345061461258,345061461258
TCP,21,2067,31,50,12853,3290423,215641169954,3617858486814056992,66737709601157011813636889854038143589
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,8,84,21593,5527888,362275685664,6077977429937818890,6077977429937818890
TCP,21,2067,19,50,12848,3289136,215556825172,3616443416192839781,66711606155561192727670882228208168736
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,6,80,20545,5259603,344693364237,88241501244682,88241501244682
TCP,21,2067,49,50,12850,3289655,215590838341,3617014062475277413,66722132721489933508656823179523678579
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,7,67,17239,4413252,289226891311,18954773548961034,18954773548961034
TCP,2069,1048,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,21,2067,31,50,12853,3290416,215640711202,3617850790232662560,66737567624289786251943922223279141477
TCP,1048,2069,12,2,516,132101,8657417217,145247358651925248,623832655240401587613533186
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2069,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,6,76,19529,4999507,327647712269,83877814340874,83877814340874
TCP,21,2067,60,49,12597,3224880,211345743951,3545793196953986414,65408339642510593836674654569348940617
TCP,1048,2069,145,49,12592,3223597,211261665847,3544382600437903667,65382318729587149077959900855153021005
TCP,1048,2069,6,0,0,0,0,0,0
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2069,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,21,2067,24,50,12850,3289654,215590772820,3617012963215565166,66722112443727351148713759240718872429
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2069,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2069,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2069,6,0,0,0,0,0,0
TCP,2070,443,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
UDP,51393,53,44,244,62572,16018433,1049784025088,17612453342250860544,324892419314652046949900254888422947074
TCP,80,2055,6,0,0,0,0,0,0
TCP,2055,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2055,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2055,80,0,N/A,N/A,N/A,N/A,N/A,N/A
UDP,59676,1900,97,77,19757,5057875,331472913729,5561192671786189640,102585897961028881314394952638804545583
TCP,2023,80,1,0,0,0,0,0,0
UDP,15841,9749,333,101,25994,6654623,436117433663,7316836385937391070,134971808240592982361047360553407943079
TCP,80,2023,12,1,257,65797,4312074752,72344609532526351,310717731984090525813292816
UDP,9749,15841,364,77,19886,5090978,333642396318,5597590549787140196,103257320301338519248542685567093647130
UDP,53,55803,77,64,16429,4205953,275641368576,4624494779135229953,85306871660913564944713784064736375862
TCP,2028,443,1,0,0,0,0,0,0
TCP,443,2028,12,1,257,65797,4312074889,72344611830606161,310717741854268155659266386
TCP,80,2058,6,0,0,0,0,0,0
TCP,2058,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2058,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2058,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2062,6,0,0,0,0,0,0
TCP,2062,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2062,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2062,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2059,6,0,0,0,0,0,0
TCP,2059,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2059,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2059,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2056,6,0,0,0,0,0,0
TCP,2056,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2056,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2056,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2057,6,0,0,0,0,0,0
TCP,2057,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2057,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2057,80,0,N/A,N/A,N/A,N/A,N/A,N/A
UDP,53,55930,44,100,25737,6588801,431803695616,7244463870947950592,133636770978612065521157575010478929410
UDP,8426,8000,54,224,57376,14688499,962625492493,16150175814671463766,297918159998658154017441566439017152728
UDP,8000,8426,35,51,13301,3405119,223157903065,3743968341843273774,69064025822053587173855867403391131443
TCP,2065,80,1,0,0,0,0,0,0
TCP,2033,443,1,0,0,0,0,0,0
TCP,443,2033,12,1,257,65797,4312074791,72344610189261322,310717734804745749054536203
TCP,2049,80,621,72,18501,4736321,310399550496,5207640304977404786,96064007933852943737671032613713900335
TCP,80,2065,6,0,0,0,0,0,0
UDP,55803,53,44,130,33329,8532225,559167897600,9381280598301147136,173054082280518082608782950733039546371
UDP,53,55803,100,130,33329,8532353,559176319744,9381421898430218240,173056688807836639391225722210438361091
UDP,51374,53,44,100,25737,6588673,431795273728,7244322575113846784,133634164530521671252979422601600775682
UDP,15005,4325,6,227,58262,14915222,977484016554,250235908237909,250235908237909
TCP,2068,443,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,2070,443,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
UDP,55930,53,44,184,47137,12067073,790827696128,13267887076721885184,244749317303166982503532044046910632195
TCP,2067,21,6,80,20545,5259603,344693364237,88241501244682,88241501244682
TCP,21,2067,49,50,12850,3289655,215590838341,3617014062475277413,66722132721489933508656823179523678579
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,16,83,21321,5458266,357712938272,6001427231387117933,110706792214389439696475526138910149898
TCP,2072,1048,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,1048,2072,12,2,516,132101,8657417217,145247358651925248,623832655240401587613533186
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,21,2067,11,50,12849,3289395,215573798963,3616728189146510391,60678630042599860479200522
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,16,77,19780,5063764,331858857248,5567667729565968749,102705341694754948525002188360425868554
TCP,21,2067,41,53,13616,3485746,228441858115,3832618397044010349,70699330702461799209720977602825384992
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2067,21,16,82,21061,5391700,353350472224,5928237196207155565,109356674366678875288471442125876563210
TCP,21,2067,60,49,12597,3224880,211345743951,3545793196953986414,65408339642510593836674654569365065281
TCP,2067,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1460,255,65496,16767231,1098857308160,18435766412179950150,340079864808174098294188674279182303532
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1460,68,17558,4494894,294577393833,4942188565059780608,91167287623671620704219224851011862528
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1460,203,52145,13349348,874862877391,14677763464381482843,270756946201889696034667038891417788387
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1460,242,62183,15919012,1043268431415,17503139819832411190,322875940742803200118916532346852247233
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1460,34,8958,2293282,150292545623,2521490501118184749,46513289958416802060627662243616135269
TCP,1048,2072,1460,100,25719,6584094,431495233849,7239288741265651701,133541306685814440074713438951231048528
TCP,1048,2072,1460,2,557,142637,9347870184,156831237228081551,2893025695909650163054769701224539741
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1460,193,49514,12675786,830720312014,13937174110256044068,257095483922623873845449501606668179367
TCP,1048,2072,1460,170,43720,11192555,733515327734,12306345092708634986,227011998407947635006090073713862940255
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1460,139,35732,9147422,599485503741,10057697785137833023,185531777013153004538362282351281342814
TCP,1048,2072,1460,214,54938,14064231,921713466929,15463785924779091567,285256501365031885503150179529327559025
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,324,146,37505,9601505,629244287824,10556967333597654539,194741674597387860870920988469251972244
TCP,1048,2072,1460,125,32075,8211434,538144563026,9028567573129238484,166547675373708008793147210498590985194
TCP,1048,2072,1460,183,46990,12029598,788371747974,13226683104068223978,243989238164804767233411957311486689474
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1176,32,8330,2132498,139755438058,2344707171486375624,43252213120200584910602053453676505391
TCP,1048,2072,1460,35,9208,2357347,154491122032,2591930924421540648,47812686419537574690076329852819214127
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1460,182,46623,11935569,782209496603,13123297681767544950,242082113738671757060691118281113195544
TCP,1048,2072,1176,44,11451,2931696,192131638829,3223434005075030040,59461862130111655131711731363776630885
TCP,1048,2072,1460,254,65247,16703357,1094671251195,18365536030297145343,338784342927383110053844394179098115840
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1460,0,255,65280,4278236927,71776905023520512,1324050197371840367141456670892375346
TCP,1048,2072,1176,236,60559,15503122,1016012640124,17045863522092108679,314440681907414430355195885626885954439
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1460,56,14442,3697155,242296750423,4065064917958132871,74987212184588792188239444853179981857
TCP,1048,2072,1460,31,8140,2084004,136577288753,2291386674111593088,42268623551245069454354362707309625041
TCP,1048,2072,1176,130,33474,8569510,561611427329,9422276224371168429,173810318102773260706538764441679402425
TCP,2072,1048,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1048,2072,1460,189,48517,12420403,813983589324,13656378498557792812,251915719136605509041169770555121889984
TCP,1048,2072,1460,92,23618,6046451,396260242093,6648143673819858361,122636604916206118584992136506637737401
